1 ; [(139, 4), (151, 4), (441, 4), (461, 4), (533, 4), (875, 4), (526, 3), (370, 2), (440, 2), (520, 2), (527, 2), (921, 2), (922, 2), (166, 1), (311, 1), (392, 1), (439, 1), (454, 1), (502, 1), (503, 1), (505, 1), (522, 1), (593, 1), (619, 1), (737, 1), (742, 1), (789, 1), (827, 1), (835, 1), (861, 1), (891, 1), (1175, 1), (1185, 1), (1222, 1)]
2 ; [(875, 3), (434, 2), (169, 1), (454, 1), (498, 1), (499, 1), (592, 1)]
3 ; [(139, 4), (375, 4), (633, 4), (856, 4), (1144, 4), (440, 3), (454, 3), (527, 3), (311, 2), (370, 2), (526, 2), (742, 2), (23, 1), (40, 1), (190, 1), (221, 1), (246, 1), (309, 1), (325, 1), (345, 1), (347, 1), (356, 1), (374, 1), (439, 1), (515, 1), (520, 1), (524, 1), (533, 1), (535, 1), (560, 1), (561, 1), (571, 1), (584, 1), (604, 1), (623, 1), (733, 1), (854, 1), (950, 1), (967, 1), (1161, 1), (1172, 1), (1175, 1), (1196, 1)]
4 ; [(604, 4), (711, 4), (876, 4), (669, 2), (503, 1), (538, 1), (539, 1), (540, 1), (553, 1)]
5 ; [(47, 4), (151, 4), (256, 4), (370, 4), (374, 4), (439, 4), (497, 4), (498, 4), (499, 4), (503, 4), (533, 4), (593, 4), (633, 4), (710, 4), (805, 4), (856, 4), (861, 4), (875, 4), (975, 4), (1144, 4), (23, 3), (325, 3), (461, 3), (496, 3), (500, 3), (511, 3), (895, 3), (980, 3), (1064, 3), (1175, 3), (114, 2), (347, 2), (386, 2), (430, 2), (465, 2), (516, 2), (524, 2), (553, 2), (592, 2), (867, 2), (50, 1), (60, 1), (132, 1), (135, 1), (139, 1), (169, 1), (189, 1), (190, 1), (197, 1), (200, 1), (226, 1), (265, 1), (297, 1), (298, 1), (299, 1), (311, 1), (312, 1), (333, 1), (343, 1), (349, 1), (369, 1), (371, 1), (392, 1), (410, 1), (420, 1), (427, 1), (428, 1), (434, 1), (437, 1), (440, 1), (441, 1), (450, 1), (478, 1), (501, 1), (502, 1), (505, 1), (513, 1), (520, 1), (531, 1), (549, 1), (559, 1), (561, 1), (568, 1), (590, 1), (604, 1), (605, 1), (669, 1), (701, 1), (702, 1), (711, 1), (722, 1), (724, 1), (729, 1), (731, 1), (733, 1), (750, 1), (761, 1), (763, 1), (772, 1), (779, 1), (788, 1), (843, 1), (845, 1), (857, 1), (864, 1), (876, 1), (888, 1), (889, 1), (925, 1), (935, 1), (943, 1), (944, 1), (982, 1), (990, 1), (1000, 1), (1019, 1), (1038, 1), (1040, 1), (1076, 1), (1080, 1), (1088, 1), (1091, 1), (1092, 1), (1093, 1), (1098, 1), (1156, 1), (1185, 1), (1188, 1), (1196, 1), (1223, 1), (1226, 1)]
6 ; [(31, 4), (503, 3), (875, 3), (370, 2), (592, 2), (975, 2), (25, 1), (90, 1), (195, 1), (326, 1), (438, 1), (440, 1), (441, 1), (511, 1), (586, 1), (593, 1), (722, 1), (731, 1), (734, 1), (805, 1), (922, 1), (963, 1), (1092, 1), (1093, 1)]
7 ; [(371, 4), (623, 4), (856, 4), (1064, 3), (256, 2), (439, 2), (1054, 2), (45, 1), (53, 1), (166, 1), (171, 1), (370, 1), (386, 1), (410, 1), (535, 1), (633, 1), (634, 1), (640, 1), (669, 1), (831, 1), (853, 1), (857, 1), (921, 1), (1027, 1), (1056, 1), (1057, 1), (1059, 1), (1161, 1)]
8 ; [(23, 4), (499, 4), (683, 3), (1125, 3), (439, 2), (169, 1), (322, 1), (370, 1), (386, 1), (435, 1), (463, 1), (496, 1), (497, 1), (498, 1), (503, 1), (605, 1), (710, 1), (750, 1), (771, 1), (867, 1), (875, 1), (944, 1)]
9 ; [(165, 4), (414, 4), (794, 3), (992, 2), (1115, 2), (174, 1), (362, 1), (370, 1), (443, 1), (1040, 1)]
10 ; [(30, 4), (157, 4), (170, 4), (296, 4), (413, 4), (581, 4), (676, 4), (878, 4), (1115, 4), (1218, 4), (443, 3), (728, 3), (1239, 3), (126, 2), (370, 2), (782, 2), (301, 1), (322, 1), (715, 1), (722, 1), (758, 1), (835, 1), (941, 1), (1215, 1), (1234, 1)]
11 ; [(796, 4), (798, 4), (909, 4), (991, 4), (96, 3), (518, 3), (428, 2), (772, 2), (36, 1), (46, 1), (186, 1), (301, 1), (649, 1), (652, 1), (659, 1), (799, 1), (835, 1), (837, 1), (908, 1), (1119, 1), (1178, 1), (1226, 1)]
12 ; [(70, 4), (443, 3), (466, 3), (181, 1), (755, 1), (918, 1), (1115, 1)]
13 ; [(156, 4), (301, 4), (314, 4), (791, 4), (322, 3), (443, 3), (695, 3), (902, 3), (462, 2), (763, 2), (370, 1), (522, 1), (643, 1), (715, 1), (719, 1), (722, 1), (764, 1), (822, 1), (900, 1), (978, 1), (1017, 1), (1033, 1), (1097, 1), (1124, 1)]
14 ; [(131, 4), (150, 4), (233, 4), (234, 4), (344, 4), (405, 4), (417, 4), (462, 4), (635, 4), (791, 4), (815, 4), (852, 4), (899, 4), (1100, 4), (1124, 4), (345, 3), (367, 3), (370, 3), (465, 3), (602, 3), (616, 3), (777, 3), (941, 3), (1008, 3), (1117, 3), (5, 2), (584, 2), (719, 2), (1013, 2), (1135, 2), (1234, 2), (89, 1), (92, 1), (135, 1), (156, 1), (203, 1), (232, 1), (291, 1), (297, 1), (314, 1), (319, 1), (356, 1), (379, 1), (413, 1), (419, 1), (421, 1), (424, 1), (492, 1), (662, 1), (695, 1), (809, 1), (889, 1), (930, 1), (1000, 1), (1206, 1)]
15 ; [(59, 4), (99, 4), (204, 4), (205, 4), (266, 4), (301, 4), (322, 4), (339, 4), (355, 4), (364, 4), (370, 4), (385, 4), (422, 4), (423, 4), (443, 4), (545, 4), (549, 4), (601, 4), (690, 4), (700, 4), (720, 4), (722, 4), (752, 4), (870, 4), (994, 4), (1184, 4), (1192, 4), (149, 3), (174, 3), (410, 3), (474, 3), (763, 3), (854, 3), (1235, 3), (197, 2), (398, 2), (603, 2), (642, 2), (725, 2), (747, 2), (764, 2), (863, 2), (900, 2), (944, 2), (1000, 2), (1013, 2), (1016, 2), (1162, 2), (17, 1), (63, 1), (72, 1), (91, 1), (95, 1), (97, 1), (98, 1), (135, 1), (226, 1), (232, 1), (238, 1), (297, 1), (350, 1), (354, 1), (408, 1), (413, 1), (414, 1), (420, 1), (424, 1), (426, 1), (434, 1), (550, 1), (611, 1), (643, 1), (657, 1), (673, 1), (724, 1), (729, 1), (731, 1), (735, 1), (767, 1), (792, 1), (794, 1), (816, 1), (822, 1), (833, 1), (837, 1), (844, 1), (853, 1), (857, 1), (875, 1), (888, 1), (889, 1), (990, 1), (993, 1), (1027, 1), (1033, 1), (1040, 1), (1093, 1), (1098, 1), (1115, 1), (1187, 1), (1195, 1), (1226, 1), (1232, 1), (1234, 1)]
16 ; [(46, 4), (89, 4), (95, 4), (182, 4), (186, 4), (301, 4), (322, 4), (364, 4), (370, 4), (396, 4), (443, 4), (466, 4), (468, 4), (475, 4), (649, 4), (659, 4), (722, 4), (727, 4), (756, 4), (772, 4), (799, 4), (834, 4), (935, 4), (993, 4), (1017, 4), (1192, 4), (129, 3), (181, 3), (240, 3), (314, 3), (376, 3), (424, 3), (518, 3), (522, 3), (594, 3), (641, 3), (642, 3), (755, 3), (763, 3), (872, 3), (901, 3), (1016, 3), (1154, 3), (1226, 3), (41, 2), (135, 2), (238, 2), (298, 2), (333, 2), (350, 2), (359, 2), (398, 2), (428, 2), (478, 2), (550, 2), (582, 2), (643, 2), (657, 2), (658, 2), (660, 2), (662, 2), (719, 2), (770, 2), (791, 2), (816, 2), (902, 2), (937, 2), (943, 2), (944, 2), (984, 2), (1000, 2), (1002, 2), (1234, 2), (5, 1), (10, 1), (17, 1), (36, 1), (69, 1), (72, 1), (92, 1), (97, 1), (98, 1), (126, 1), (130, 1), (132, 1), (134, 1), (148, 1), (150, 1), (168, 1), (189, 1), (197, 1), (202, 1), (205, 1), (212, 1), (225, 1), (226, 1), (255, 1), (288, 1), (290, 1), (292, 1), (297, 1), (320, 1), (330, 1), (331, 1), (357, 1), (386, 1), (413, 1), (421, 1), (434, 1), (462, 1), (472, 1), (473, 1), (489, 1), (490, 1), (510, 1), (512, 1), (553, 1), (559, 1), (581, 1), (586, 1), (615, 1), (616, 1), (656, 1), (673, 1), (676, 1), (708, 1), (709, 1), (711, 1), (715, 1), (723, 1), (724, 1), (725, 1), (729, 1), (730, 1), (731, 1), (735, 1), (758, 1), (762, 1), (764, 1), (767, 1), (783, 1), (797, 1), (809, 1), (810, 1), (822, 1), (835, 1), (837, 1), (844, 1), (867, 1), (870, 1), (875, 1), (882, 1), (888, 1), (889, 1), (893, 1), (896, 1), (919, 1), (928, 1), (932, 1), (938, 1), (941, 1), (970, 1), (974, 1), (990, 1), (991, 1), (994, 1), (1023, 1), (1033, 1), (1037, 1), (1051, 1), (1066, 1), (1076, 1), (1080, 1), (1098, 1), (1101, 1), (1115, 1), (1135, 1), (1158, 1), (1189, 1), (1232, 1)]
17 ; [(49, 4), (357, 4), (688, 4), (791, 4), (810, 4), (1101, 4), (89, 3), (359, 3), (370, 3), (662, 3), (1103, 3), (428, 2), (443, 2), (643, 2), (730, 2), (816, 2), (941, 2), (944, 2), (101, 1), (128, 1), (132, 1), (135, 1), (153, 1), (189, 1), (233, 1), (238, 1), (297, 1), (298, 1), (301, 1), (330, 1), (333, 1), (450, 1), (506, 1), (660, 1), (722, 1), (729, 1), (731, 1), (735, 1), (837, 1), (839, 1), (845, 1), (882, 1), (889, 1), (897, 1), (937, 1), (938, 1), (1000, 1), (1023, 1), (1040, 1), (1069, 1), (1080, 1), (1088, 1), (1115, 1), (1187, 1), (1234, 1)]
18 ; [(129, 4), (205, 3), (424, 3), (725, 3), (993, 3), (1016, 3), (370, 2), (656, 2), (657, 2), (658, 2), (660, 2), (935, 2), (1162, 2), (153, 1), (226, 1), (364, 1), (414, 1), (443, 1), (642, 1), (816, 1), (994, 1)]
19 ; [(432, 4), (487, 4), (506, 4), (618, 4), (626, 4), (672, 4), (688, 4), (693, 4), (897, 4), (1049, 4), (1103, 4), (21, 3), (359, 3), (370, 2), (49, 1), (398, 1), (455, 1), (936, 1), (944, 1), (1000, 1), (1129, 1), (1205, 1)]
20 ; [(126, 4), (207, 4), (208, 4), (220, 4), (278, 4), (286, 4), (287, 4), (290, 4), (292, 4), (538, 4), (539, 4), (540, 4), (544, 4), (758, 4), (823, 4), (924, 4), (962, 4), (1066, 4), (1115, 4), (1168, 4), (1213, 4), (1215, 4), (711, 3), (715, 3), (1239, 3), (283, 2), (288, 2), (370, 2), (824, 2), (970, 2), (1234, 2), (133, 1), (153, 1), (181, 1), (443, 1), (604, 1), (643, 1), (731, 1), (767, 1), (791, 1), (882, 1), (919, 1), (928, 1), (944, 1), (1080, 1), (1189, 1)]
21 ; [(68, 4), (251, 4), (708, 4), (709, 4), (1115, 4), (1158, 4), (941, 3), (98, 2), (719, 2), (97, 1), (181, 1), (413, 1), (416, 1), (434, 1), (443, 1), (551, 1), (615, 1), (676, 1), (722, 1), (751, 1), (756, 1), (757, 1), (932, 1), (1098, 1), (1189, 1)]
22 ; [(13, 4), (130, 4), (258, 4), (262, 4), (276, 4), (431, 4), (473, 4), (478, 4), (692, 4), (704, 4), (764, 4), (898, 4), (908, 4), (1083, 4), (1156, 4), (1194, 4), (370, 3), (503, 3), (671, 3), (788, 3), (880, 3), (39, 2), (237, 2), (342, 2), (343, 2), (510, 2), (512, 2), (514, 2), (590, 2), (654, 2), (774, 2), (843, 2), (871, 2), (881, 2), (1114, 2), (1166, 2), (67, 1), (69, 1), (104, 1), (189, 1), (197, 1), (221, 1), (226, 1), (247, 1), (322, 1), (325, 1), (333, 1), (350, 1), (365, 1), (392, 1), (464, 1), (465, 1), (586, 1), (682, 1), (713, 1), (729, 1), (731, 1), (735, 1), (845, 1), (882, 1), (888, 1), (942, 1), (946, 1), (968, 1), (1000, 1), (1033, 1), (1040, 1), (1093, 1), (1144, 1), (1195, 1)]
23 ; [(9, 4), (10, 4), (12, 4), (34, 4), (42, 4), (99, 4), (426, 4), (434, 4), (509, 4), (541, 4), (979, 4), (1114, 4), (859, 3), (11, 2), (322, 2), (350, 2), (370, 2), (716, 2), (888, 2), (1096, 2), (162, 1), (163, 1), (167, 1), (198, 1), (248, 1), (285, 1), (464, 1), (582, 1), (583, 1), (598, 1), (780, 1), (883, 1), (984, 1), (1156, 1), (1163, 1)]
24 ; [(254, 4), (647, 4), (913, 4), (915, 4), (926, 4), (1109, 4), (1195, 4), (210, 3), (1031, 3), (32, 2), (611, 2), (72, 1), (199, 1), (207, 1), (240, 1), (331, 1), (370, 1), (377, 1), (411, 1), (477, 1), (492, 1), (522, 1), (552, 1), (559, 1), (677, 1), (724, 1), (763, 1), (858, 1), (934, 1), (1000, 1), (1232, 1)]
25 ; [(72, 4), (411, 4), (431, 4), (503, 4), (647, 4), (858, 4), (913, 4), (926, 4), (1194, 4), (1195, 4), (74, 3), (83, 3), (106, 3), (198, 3), (465, 3), (569, 3), (84, 2), (120, 2), (162, 2), (370, 2), (881, 2), (1156, 2), (112, 1), (141, 1), (172, 1), (221, 1), (276, 1), (390, 1), (392, 1), (415, 1), (425, 1), (432, 1), (464, 1), (505, 1), (530, 1), (550, 1), (559, 1), (566, 1), (568, 1), (622, 1), (855, 1), (875, 1), (880, 1), (891, 1), (915, 1), (949, 1), (977, 1), (1027, 1), (1031, 1), (1083, 1), (1210, 1)]
26 ; [(104, 4), (199, 4), (281, 4), (285, 4), (328, 4), (431, 4), (610, 4), (617, 4), (665, 4), (807, 4), (1061, 4), (1144, 4), (1166, 4), (1194, 4), (342, 3), (942, 3), (74, 2), (343, 2), (774, 2), (881, 2), (221, 1), (333, 1), (370, 1), (392, 1), (434, 1), (442, 1), (465, 1), (485, 1), (488, 1), (490, 1), (713, 1), (855, 1), (1195, 1)]
27 ; [(599, 4), (905, 4), (98, 3), (913, 2), (179, 1), (756, 1), (858, 1), (912, 1), (1000, 1), (1083, 1), (1096, 1)]
28 ; [(215, 4), (351, 4), (352, 4), (370, 4), (477, 4), (759, 4), (822, 4), (1083, 4), (722, 3), (1000, 3), (135, 2), (724, 2), (763, 2), (942, 2), (1033, 2), (1040, 2), (1093, 2), (1192, 2), (1234, 2), (134, 1), (136, 1), (274, 1), (300, 1), (322, 1), (331, 1), (333, 1), (343, 1), (392, 1), (398, 1), (465, 1), (467, 1), (510, 1), (550, 1), (559, 1), (586, 1), (611, 1), (665, 1), (729, 1), (735, 1), (832, 1), (837, 1), (875, 1), (882, 1), (913, 1), (937, 1), (944, 1), (969, 1), (990, 1), (1187, 1), (1222, 1), (1226, 1)]
29 ; [(215, 4), (274, 4), (300, 4), (322, 4), (351, 4), (352, 4), (370, 4), (759, 4), (832, 4), (1192, 4), (15, 3), (353, 3), (477, 3), (722, 3), (763, 3), (944, 3), (333, 2), (350, 2), (714, 2), (724, 2), (822, 2), (942, 2), (1040, 2), (1234, 2), (100, 1), (343, 1), (385, 1), (392, 1), (434, 1), (442, 1), (510, 1), (553, 1), (687, 1), (729, 1), (764, 1), (788, 1), (837, 1), (875, 1), (937, 1), (1000, 1), (1033, 1), (1083, 1), (1093, 1), (1184, 1)]
30 ; [(433, 4), (586, 4), (880, 4), (911, 4), (1224, 4), (328, 2), (942, 2), (1001, 2), (117, 1), (332, 1), (492, 1), (557, 1), (687, 1), (775, 1), (881, 1), (1084, 1), (1234, 1)]
31 ; [(43, 4), (127, 4), (189, 4), (226, 4), (239, 4), (330, 4), (332, 4), (370, 4), (433, 4), (448, 4), (467, 4), (557, 4), (586, 4), (651, 4), (760, 4), (839, 4), (845, 4), (882, 4), (938, 4), (999, 4), (1020, 4), (1022, 4), (1036, 4), (1084, 4), (1233, 4), (136, 3), (628, 3), (942, 3), (1040, 3), (1224, 3), (168, 2), (331, 2), (551, 2), (620, 2), (701, 2), (722, 2), (729, 2), (937, 2), (940, 2), (1000, 2), (1187, 2), (1234, 2), (69, 1), (128, 1), (145, 1), (213, 1), (272, 1), (359, 1), (389, 1), (512, 1), (550, 1), (724, 1), (735, 1), (762, 1), (764, 1), (944, 1), (1093, 1), (1232, 1)]
32 ; [(184, 4), (389, 4), (433, 4), (722, 4), (586, 3), (212, 2), (239, 2), (1040, 2), (1234, 2), (43, 1), (127, 1), (128, 1), (181, 1), (189, 1), (226, 1), (315, 1), (330, 1), (331, 1), (370, 1), (467, 1), (473, 1), (489, 1), (506, 1), (735, 1), (764, 1), (882, 1), (937, 1), (999, 1), (1093, 1), (1220, 1)]
33 ; [(91, 4), (370, 4), (403, 4), (465, 4), (612, 4), (721, 4), (811, 4), (825, 4), (916, 4), (920, 4), (927, 4), (995, 4), (996, 4), (1052, 4), (1105, 4), (1113, 4), (1122, 4), (1183, 4), (1186, 4), (1234, 4), (94, 3), (210, 3), (359, 3), (637, 3), (638, 3), (797, 3), (818, 3), (978, 3), (1123, 3), (37, 2), (225, 2), (763, 2), (888, 2), (1189, 2), (65, 1), (96, 1), (297, 1), (404, 1), (413, 1), (515, 1), (663, 1), (719, 1), (731, 1), (764, 1), (773, 1), (793, 1), (795, 1), (822, 1), (846, 1), (882, 1), (889, 1), (981, 1), (1000, 1), (1023, 1), (1072, 1), (1098, 1), (1215, 1)]
34 ; [(37, 4), (65, 4), (261, 4), (403, 4), (404, 4), (465, 4), (471, 4), (637, 4), (638, 4), (721, 4), (773, 4), (795, 4), (817, 4), (846, 4), (916, 4), (995, 4), (76, 2), (1052, 2), (77, 1), (94, 1), (135, 1), (225, 1), (235, 1), (236, 1), (247, 1), (277, 1), (297, 1), (359, 1), (552, 1), (627, 1), (818, 1), (825, 1), (933, 1), (941, 1), (944, 1), (1000, 1), (1023, 1), (1186, 1), (1234, 1)]
35 ; [(210, 4), (1109, 4), (811, 3), (913, 3), (915, 3), (32, 1), (120, 1), (825, 1), (888, 1), (920, 1), (926, 1), (948, 1), (1105, 1), (1119, 1)]
36 ; [(612, 3), (722, 3), (1052, 3), (403, 2), (66, 1), (325, 1), (370, 1), (721, 1), (724, 1)]
37 ; [(3, 4), (33, 4), (35, 4), (38, 4), (71, 4), (120, 4), (131, 4), (158, 4), (175, 4), (203, 4), (225, 4), (234, 4), (247, 4), (280, 4), (318, 4), (319, 4), (378, 4), (379, 4), (380, 4), (465, 4), (470, 4), (476, 4), (482, 4), (483, 4), (491, 4), (492, 4), (600, 4), (627, 4), (697, 4), (712, 4), (717, 4), (815, 4), (817, 4), (831, 4), (835, 4), (849, 4), (877, 4), (930, 4), (933, 4), (942, 4), (946, 4), (991, 4), (1008, 4), (1014, 4), (1028, 4), (1126, 4), (1128, 4), (1131, 4), (1133, 4), (1174, 4), (1176, 4), (1178, 4), (1182, 4), (1234, 4), (28, 3), (333, 3), (774, 3), (866, 3), (1011, 3), (1135, 3), (65, 2), (76, 2), (231, 2), (238, 2), (334, 2), (370, 2), (428, 2), (871, 2), (4, 1), (116, 1), (119, 1), (148, 1), (150, 1), (220, 1), (233, 1), (291, 1), (294, 1), (342, 1), (345, 1), (392, 1), (403, 1), (433, 1), (443, 1), (510, 1), (512, 1), (514, 1), (596, 1), (671, 1), (711, 1), (721, 1), (731, 1), (776, 1), (818, 1), (888, 1), (941, 1), (944, 1), (1080, 1), (1130, 1)]
38 ; [(14, 4), (360, 4), (390, 4), (465, 4), (634, 4), (644, 4), (971, 4), (1068, 4), (1130, 4), (1136, 4), (1140, 4), (1234, 3), (117, 2), (646, 2), (666, 2), (873, 2), (1024, 2), (1146, 2), (1148, 2), (1160, 2), (76, 1), (142, 1), (252, 1), (370, 1), (392, 1), (444, 1), (503, 1), (505, 1), (510, 1), (572, 1), (573, 1), (621, 1), (622, 1), (627, 1), (702, 1), (729, 1), (776, 1), (786, 1), (856, 1), (862, 1), (866, 1), (881, 1), (882, 1), (888, 1), (990, 1), (1001, 1), (1027, 1), (1029, 1), (1059, 1), (1066, 1), (1072, 1), (1075, 1), (1230, 1)]
